# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      26.498       88.300     4852.785    12584.672
      26.612      114.000     4857.035    12588.523
      26.726       96.700     4873.590    12667.164
      26.840       95.600     4882.836    12679.855
      26.955       97.200     4893.695    12694.285
      27.068      104.500     4901.609    12702.230
      27.183       97.100     4908.570    12709.879
      27.296      113.200     4954.379    12791.000
      27.411       97.200     4922.656    12781.832
      27.524      104.700     4941.219    12781.832
      27.639       97.300     4959.266    12781.832
      27.752      106.300     4977.312    12781.832
      27.865       96.000     5048.426    12858.102
      27.979       26.600     4999.586    12808.309
      28.092       96.000     5015.793    13439.836
      28.206       96.900     5307.859    16166.652
      28.320      104.400     5695.188    16166.652
      28.435       97.200     5845.840    16174.113
      28.548       87.700     5869.262    16184.855
      28.662       96.700     5912.551    16206.141
      28.776      104.500     5924.801    16280.453
      28.891       97.600     5935.695    16291.035
      29.003      104.200     5944.461    16303.473
      29.118       97.000     5954.566    16316.996
      29.232      104.400     5961.719    16324.301
      29.347       97.200     5968.785    16331.836
      29.460       95.800     6037.684    16412.180
      29.575      114.800     5984.379    16403.012
      29.688      104.500     5998.559    16403.012
      29.803       97.200     6012.738    16403.012
      29.916       95.900     6031.043    16403.012
      30.031       97.200     6049.340    16479.281
      30.144       60.900     6050.145    16419.988
      30.259       97.000     6090.008    19787.832
      30.372       95.800     6396.809    19787.832
      30.487       97.000     6778.898    19787.832
      30.600       95.900     6906.754    19796.324
      30.715       88.300     6935.719    19807.477
      30.828      104.700     6981.074    19838.148
      30.943       97.400     6996.895    19915.574
      31.056       95.900     7008.754    19933.117
      31.171       97.000     7019.254    19943.824
      31.284      104.500     7027.684    19953.016
      31.399      114.800     7081.367    20033.363
      31.512       95.800     7038.895    20024.191
      31.627      105.700     7048.434    20024.191
      31.740      104.600     7062.613    20024.191
      31.855       97.200     7076.793    20024.191
      31.968       96.400     7090.973    20024.191
      32.082      105.700     7105.152    20024.191
      32.196       95.500     7108.445    20033.723
      32.311        0.000     7117.367    20050.090
      32.424      104.300     7127.734    20681.164
      32.540       95.300     7319.227    23409.012
      32.655       97.000     7698.727    23409.012
      32.768      113.800     7947.547    23409.703
      32.883       79.400     7979.160    23423.219
      32.996      104.400     8030.285    23447.961
      33.111       97.000     8034.176    23451.590
      33.224       96.200     8051.152    23530.297
      33.339      105.700     8060.762    23543.395
      33.452       95.900     8070.648    23556.938
      33.567       97.200     8078.777    23565.004
      33.680      104.400     8086.438    23573.418
      33.795       88.300     8123.488    23654.539
      33.908      278.900     8126.949    23953.074
      34.020      490.000     8161.613    24547.312
      34.132      278.500     8176.184    24548.738
      34.243       89.900     8189.590    24548.738
      34.355      107.600     8202.738    24548.738
      34.466       98.800     8215.887    24548.738
      34.577       96.900     8289.586    24625.008
      34.691       36.100     8232.766    24574.695
      34.802       96.300     8278.422    27933.559
      34.916       95.400     8613.602    27933.559
      35.031      104.300     8974.012    27933.559
      35.146       96.700     9081.660    27942.438
      35.260       86.900     9106.020    27952.688
      35.375       95.200     9149.039    27975.418
      35.491      105.200     9161.543    28050.184
      35.605       95.900     9171.645    28061.051
      35.720      103.900     9180.801    28075.852
      35.835       96.900     9189.750    28085.195
      35.949       95.800     9196.297    28091.707
      36.063      103.900     9203.398    28099.500
      36.179      114.900     9279.512    28179.086
      36.292       95.000     9215.715    28169.918
      36.408       98.600     9226.543    28169.918
      36.520       99.000     9239.691    28169.918
      36.631       90.100     9253.098    28169.918
      36.742      107.900     9266.246    28169.918
      36.853       98.600     9279.652    28169.918
      36.964      107.600     9283.375    28179.449
      37.076        9.100     9295.637    28198.801
      37.185       97.000     9462.059    31554.738
      37.299       97.000     9837.223    31554.738
      37.412      104.200    10120.547    31554.914
      37.527       77.800    10149.773    31568.043
      37.643      106.200    10206.059    31594.227
      37.756       95.600    10222.887    31672.387
      37.871      106.000    10232.547    31682.832
      37.984       95.700    10241.223    31697.367
      38.099      103.000    10250.418    31707.027
      38.216       95.600    10257.086    31716.535
      38.331      106.100    10263.613    31720.938
      38.444      105.300    10336.117    31800.266
      38.558       92.900    10272.762    31791.098
      38.676       94.100    10281.785    31791.098
      38.793       98.400    10293.645    31791.098
      38.905      107.600    10306.793    31791.098
      39.017       98.600    10320.199    31791.098
      39.128       98.600    10333.348    31791.098
      39.240      105.400    10384.871    31867.367
      39.354       44.600    10350.863    31815.465
      39.466       96.300    10356.578    31820.812
      39.580      103.500    10386.613    35175.918
      39.696       95.100    10732.418    35175.918
      39.812      103.500    11121.434    35175.918
      39.927       94.900    11202.566    35185.828
      40.043       86.300    11257.746    35201.020
      40.159       94.700    11268.238    35217.777
      40.275      103.500    11282.020    35293.566
      40.391       94.900    11292.066    35304.680
      40.507      103.500    11301.176    35319.281
      40.623       97.200    11309.938    35328.207
      40.736      104.800    11316.602    35337.715
      40.851       96.500    11325.742    35344.676
      40.965      106.000    11326.809    35412.281
      41.078      101.300    11333.770    35412.281
      41.197      110.400    11342.020    35412.281
      41.315       89.500    11354.910    35412.281
      41.426       98.600    11368.059    35412.281
      41.538       98.600    11381.207    35412.281
      41.649       98.400    11394.613    35412.281
      41.761      114.200    11460.828    35488.551
      41.875       35.500    11410.488    35436.648
      41.987      103.300    11416.133    35442.125
      42.104       94.900    11616.223    38797.102
      42.220      104.600    12001.805    38797.102
      42.334       96.200    12246.910    38799.340
      42.449       77.900    12276.133    38811.566
      42.564       95.200    12325.445    38836.590
      42.680      103.900    12339.176    38912.605
      42.795      105.400    12347.316    38920.102
      42.909      104.300    12356.305    38932.875
      43.024       95.600    12367.453    38947.445
      43.139       96.500    12374.605    38954.617
      43.253      104.300    12381.586    38962.035
      43.368       97.000    12428.637    39042.629
      43.482      289.500    12429.902    39276.555
      43.599      826.100    12456.492    40420.875
      43.718     1008.700    12459.266    40429.016
      43.835     1020.100    12465.109    40437.273
      43.951     1035.000    12460.863    40431.273
      44.067      943.700    12461.086    40425.270
      44.177     1124.100    12460.883    40431.273
      44.290      933.900    12464.340    40427.086
      44.404      988.000    12462.727    40433.090
      44.515     1109.700    12462.699    40421.086
      44.628      969.200    12462.730    40427.090
      44.742      984.300    12462.703    40427.090
      44.858      997.600    12462.715    40439.098
      44.972      832.900    12462.703    40438.160
      45.087      675.600    12463.629    40426.152
      45.196      500.500    12470.512    40420.398
      45.310      405.600     8167.602    25313.996
      45.418      222.400     8183.410    25407.863
      45.531      328.100     8186.105    25409.863
      45.643      448.700     8197.488    25421.859
      45.755      305.600     8200.582    25424.859
      45.873      368.700     8200.582    25424.859
      45.984      315.000     8200.582    25424.859
      46.102      382.600     8200.582    25424.859
      46.214      434.300     8200.582    25424.859
      46.326      279.500     8200.582    25424.859
      46.437      445.400     8200.582    25424.859
      46.552      400.300     8200.582    25424.859
      46.667      319.600     8201.613    25425.859
      46.780      398.800     8201.613    25425.859
      46.892      400.600     8201.613    25425.859
      47.005      408.300     8201.613    25425.859
      47.120      449.000     8202.129    25426.328
      47.231      428.400     8202.129    25426.328
      47.343      429.600     8202.129    25426.328
      47.457      400.000     8202.129    25426.328
      47.572      393.700     8202.129    25426.328
      47.689      380.600     8202.129    25426.328
      47.805      401.200     8202.129    25426.328
      47.919      396.400     8202.129    25426.328
      48.033      419.800     8202.129    25426.328
      48.147      423.100     8202.129    25426.328
      48.260      409.900     8202.129    25426.328
      48.373      425.800     8202.129    25426.328
      48.481      413.500     8202.129    25426.328
      48.592      409.300     8202.129    25426.328
      48.708      389.600     8202.129    25426.328
      48.825      403.600     8202.129    25426.328
      48.942      367.800     8202.129    25426.328
      49.053      408.700     8202.129    25426.328
      49.168      413.800     8202.129    25426.328
      49.282      401.700     8202.129    25426.328
      49.396      410.800     8202.645    25426.859
      49.508      396.000     8202.645    25426.859
      49.622      422.900     8202.645    25426.859
      49.733      420.400     8202.645    25426.859
      49.844      407.000     8202.645    25426.859
      49.955      411.300     8202.645    25426.859
      50.069      380.700     8202.645    25426.859
      50.185      388.600     8202.645    25426.859
      50.301      393.800     8202.645    25426.859
      50.415      397.900     8202.645    25426.859
      50.528      416.100     8202.645    25426.859
      50.639      401.200     8202.645    25426.859
      50.751      431.500     8202.645    25426.859
      50.864      478.300     8202.645    25426.859
      50.979      414.000     8202.645    25426.859
      51.096      407.300     8202.645    25426.859
      51.217      408.700     8202.645    25426.859
      51.328      426.300     8202.645    25426.859
      51.438      418.000     8202.645    25426.859
      51.549      454.500     8202.645    25426.859
      51.658      404.000     8202.645    25426.859
      51.772      402.000     8202.645    25426.859
      51.887      362.700     8202.645    25426.859
      52.005      407.000     8202.645    25426.859
      52.123      391.800     8202.645    25426.859
      52.241      391.800     8202.645    25426.859
      52.354      422.800     8202.645    25426.859
      52.464      433.700     8202.645    25426.859
      52.575      432.400     8202.645    25426.859
      52.683      405.800     8202.645    25426.859
      52.797      393.100     8202.645    25426.859
      52.914      409.000     8202.645    25426.859
      53.031      383.300     8202.645    25426.859
      53.146      420.900     8202.645    25426.859
      53.258      444.600     8202.645    25426.859
      53.368      462.600     8202.645    25426.859
      53.482      431.000     8202.645    25426.859
      53.603      391.700     8202.645    25426.859
      53.721      395.600     8202.645    25426.859
      53.841      384.200     8202.645    25426.859
      53.957      414.900     8202.645    25426.859
      54.067      406.100     8202.645    25426.859
      54.178      412.300     8202.645    25426.859
      54.290      401.600     8202.645    25426.859
      54.404      397.500     8202.645    25426.859
      54.518      400.700     8202.645    25426.859
      54.632      424.300     8202.645    25426.859
      54.740      414.000     8202.645    25426.859
      54.854      257.400     8202.645    25426.859
      54.967      442.600     8202.645    25426.859
      55.078      431.200     8202.645    25426.859
      55.186      404.000     8202.645    25426.859
      55.301      382.400     8202.645    25426.859
      55.418      388.600     8202.645    25426.859
      55.534      409.300     8202.645    25426.859
      55.651      375.500     8202.645    25426.859
      55.766      427.900     8202.645    25426.859
      55.880      448.500     8202.645    25426.859
      55.994      431.800     8202.645    25426.859
      56.105      422.900     8202.645    25426.859
      56.217      413.500     8202.645    25426.859
      56.327      419.900     8202.645    25426.859
      56.442      373.500     8202.645    25426.859
      56.557      402.700     8202.645    25426.859
      56.674      365.600     8202.645    25426.859
      56.786      419.800     8202.645    25426.859
      56.898      402.800     8202.645    25426.859
      57.012      401.200     8202.645    25426.859
      57.124      443.400     8202.645    25426.859
      57.237      452.100     8202.645    25426.859
      57.352      446.500     8202.645    25426.859
      57.468      418.300     8202.645    25426.859
      57.583      383.600     8202.645    25426.859
      57.701      417.900     8202.645    25426.859
      57.815      390.000     8202.645    25426.859
      57.925      395.500     8202.645    25426.859
      58.039      407.900     8202.645    25426.859
      58.152      399.900     8202.645    25426.859
      58.267      425.700     8202.645    25426.859
      58.377      409.800     8202.645    25426.859
      58.490      415.100     8202.645    25426.859
      58.603      436.500     8202.645    25426.859
      58.717      408.700     8202.645    25426.859
      58.833      395.700     8202.645    25426.859
      58.949      404.500     8202.645    25426.859
      59.063      378.700     8202.645    25426.859
      59.176      407.800     8202.645    25426.859
      59.291      424.100     8202.645    25426.859
      59.404      426.800     8202.645    25426.859
